code,income_group,region,currency,wb_code,
NLD,High income: OECD,Europe & Central Asia,Euro,NL,
NCL,High income: nonOECD,East Asia & Pacific,CFP franc,NC,
NZL,High income: OECD,East Asia & Pacific,New Zealand dollar,NZ,
NIC,Lower middle income,Latin America & Caribbean,Nicaraguan gold cordoba,NI,
NER,Low income,Sub-Saharan Africa,West African CFA franc,NE,
NGA,Lower middle income,Sub-Saharan Africa,Nigerian naira,NG,
MNP,High income: nonOECD,East Asia & Pacific,U.S. dollar,MP,
NOR,High income: OECD,Europe & Central Asia,Norwegian krone,NO,
OMN,High income: nonOECD,Middle East & North Africa,Rial Omani,OM,
PAK,Lower middle income,South Asia,Pakistani rupee,PK,
PLW,Upper middle income,East Asia & Pacific,U.S. dollar,PW,
PAN,Upper middle income,Latin America & Caribbean,Panamanian balboa,PA,
PNG,Lower middle income,East Asia & Pacific,Papua New Guinea kina,PG,
PRY,Upper middle income,Latin America & Caribbean,Paraguayan guarani,PY,Paraguay
PER,Upper middle income,Latin America & Caribbean,Peruvian new sol,PE,
PHL,Lower middle income,East Asia & Pacific,Philippine peso,PH,
POL,High income: OECD,Europe & Central Asia,Polish zloty,PL,
PRT,High income: OECD,Europe & Central Asia,Euro,PT,
PRI,High income: nonOECD,Latin America & Caribbean,U.S. dollar,PR,
QAT,High income: nonOECD,Middle East & North Africa,Qatari riyal,QA,
ROM,Upper middle income,Europe & Central Asia,New Romanian leu,RO,
RUS,High income: nonOECD,Europe & Central Asia,Russian ruble,RU,
RWA,Low income,Sub-Saharan Africa,Rwandan franc,RW,
WSM,Lower middle income,East Asia & Pacific,Samoan tala,WS,
SMR,High income: nonOECD,Europe & Central Asia,Euro,SM,
STP,Lower middle income,Sub-Saharan Africa,São Tomé and Principe dobra,ST,
SAU,High income: nonOECD,Middle East & North Africa,Saudi Arabian riyal,SA,
SEN,Lower middle income,Sub-Saharan Africa,West African CFA franc,SN,
SRB,Upper middle income,Europe & Central Asia,New Serbian dinar,YF,
SYC,High income: nonOECD,Sub-Saharan Africa,Seychelles rupee,SC,
SLE,Low income,Sub-Saharan Africa,Sierra Leonean leone,SL,
SGP,High income: nonOECD,East Asia & Pacific,Singapore dollar,SG,
SXM,High income: nonOECD,Latin America & Caribbean,Netherlands Antillean guilder,SX,
SVK,High income: OECD,Europe & Central Asia,Euro,SK,
SVN,High income: OECD,Europe & Central Asia,Euro,SI,
SLB,Lower middle income,East Asia & Pacific,Solomon Islands dollar,SB,
SOM,Low income,Sub-Saharan Africa,Somali shilling,SO,
ZAF,Upper middle income,Sub-Saharan Africa,South African rand,ZA,
SSD,Low income,Sub-Saharan Africa,South Sudanese Pound,SS,
ESP,High income: OECD,Europe & Central Asia,Euro,ES,
LKA,Lower middle income,South Asia,Sri Lankan rupee,LK,
KNA,High income: nonOECD,Latin America & Caribbean,East Caribbean dollar,KN,
LCA,Upper middle income,Latin America & Caribbean,East Caribbean dollar,LC,
MAF,High income: nonOECD,Latin America & Caribbean,Euro,MF,
VCT,Upper middle income,Latin America & Caribbean,East Caribbean dollar,VC,
SDN,Lower middle income,Sub-Saharan Africa,Sudanese pound,SD,
SUR,Upper middle income,Latin America & Caribbean,Suriname dollar,SR,
SWZ,Lower middle income,Sub-Saharan Africa,Swaziland lilangeni,SZ,
SWE,High income: OECD,Europe & Central Asia,Swedish krona,SE,
CHE,High income: OECD,Europe & Central Asia,Swiss franc,CH,
SYR,Lower middle income,Middle East & North Africa,Syrian pound,SY,
TJK,Lower middle income,Europe & Central Asia,Tajik somoni,TJ,
TZA,Low income,Sub-Saharan Africa,Tanzanian shilling,TZ,
THA,Upper middle income,East Asia & Pacific,Thai baht,TH,
TMP,Lower middle income,East Asia & Pacific,U.S. dollar,TP,
TGO,Low income,Sub-Saharan Africa,West African CFA franc,TG,
TON,Upper middle income,East Asia & Pacific,Tongan pa'anga,TO,
TTO,High income: nonOECD,Latin America & Caribbean,Trinidad and Tobago dollar,TT,
TUN,Upper middle income,Middle East & North Africa,Tunisian dinar,TN,
TUR,Upper middle income,Europe & Central Asia,New Turkish lira,TR,
TKM,Upper middle income,Europe & Central Asia,New Turkmen manat,TM,
TCA,High income: nonOECD,Latin America & Caribbean,U.S. dollar,TC,
TUV,Upper middle income,East Asia & Pacific,Australian dollar,TV,
UGA,Low income,Sub-Saharan Africa,Ugandan shilling,UG,
UKR,Lower middle income,Europe & Central Asia,Ukrainian hryvnia,UA,
ARE,High income: nonOECD,Middle East & North Africa,U.A.E. dirham,AE,
GBR,High income: OECD,Europe & Central Asia,Pound sterling,GB,
USA,High income: OECD,North America,U.S. dollar,US,
URY,High income: nonOECD,Latin America & Caribbean,Uruguayan peso,UY,
UZB,Lower middle income,Europe & Central Asia,Uzbek sum,UZ,
VUT,Lower middle income,East Asia & Pacific,Vanuatu vatu,VU,
VEN,High income: nonOECD,Latin America & Caribbean,Venezuelan bolivar fuerte,VE,
VNM,Lower middle income,East Asia & Pacific,Vietnamese dong,VN,
VIR,High income: nonOECD,Latin America & Caribbean,U.S. dollar,VI,
WBG,Lower middle income,Middle East & North Africa,Israeli new shekel,GZ,
YEM,Lower middle income,Middle East & North Africa,Yemeni rial,RY,
ZMB,Lower middle income,Sub-Saharan Africa,New Zambian kwacha,ZM,
ZWE,Low income,Sub-Saharan Africa,U.S. dollar,ZW,
ARB,,,,1A,
CSS,,,,S3,
CEB,,,,B8,
EAS,,,,Z4,
EAP,,,,4E,
EMU,,,,XC,
ECS,,,,Z7,
ECA,,,,7E,
EUU,,,,EU,
FCS,,,,F1,
HPC,,,,XE,
HIC,,,,XD,
NOC,,,,XR,
OEC,,,,XS,
LCN,,,,ZJ,
LAC,,,,XJ,
LDC,,,,XL,
LMY,,,,XO,
LIC,,,,XM,
LMC,,,,XN,
MEA,,,,ZQ,
MNA,,,,XQ,
MIC,,,,XP,
NAC,,,,XU,
OED,,,,OE,
OSS,,,,S4,
PSS,,,,S2,
SST,,,,S1,
SAS,,,,8S,
SSF,,,,ZG,
SSA,,,,ZF,
UMC,,,,XT,
WLD,,,,1W,
